,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,REP,SSD3R,State Senate - District 3 - Rep<br>0 of 46 precincts reporting,,<b>Mike Hodges (I)</b><br>0 votes,46,0
1,REP,SHD167R,State House of Representatives - District 167 - Rep<br>0 of 22 precincts reporting,,<b>Buddy DeLoach (I)</b><br>0 votes,22,0
2,DEM,SHD167D,State House of Representatives - District 167 - Dem<br>0 of 22 precincts reporting,,"<b>Nathaniel Hicks, Jr.</b><br>0 votes",22,0
3,DEM,SHD167D,State House of Representatives - District 167 - Dem<br>0 of 22 precincts reporting,,<b>Laurie Thompson</b><br>0 votes,22,0
4,REP,SDA5R,District Attorney - Atlantic Judicial Circuit - Rep<br>0 of 44 precincts reporting,,"<b>Billy Joe Nelson, Jr. (I)</b><br>0 votes",44,0
5,,SJC13,Judge - Superior Court - Atlantic Judicial Circuit (Hendrix)<br>0 of 44 precincts reporting,,<b>Mark A. Hendrix (I)</b><br>0 votes,44,0
6,,SJC14,Judge - Superior Court - Atlantic Judicial Circuit (Stewart)<br>0 of 44 precincts reporting,,<b>D. Jay Stewart (I)</b><br>0 votes,44,0
7,REP,,McIntosh County: State Court Solicitor - Rep<br>0 of 6 precincts reporting,,"<b>Richard E. Braun, Jr. (I)</b><br>0 votes",6,0
8,REP,,McIntosh County: County Commission - District 5 LRG - Rep<br>0 of 6 precincts reporting,,<b>Tim Gardner</b><br>0 votes,6,0
9,REP,,McIntosh County: County Commission - District 5 LRG - Rep<br>0 of 6 precincts reporting,,<b>Kate Pontello Karwacki</b><br>0 votes,6,0
10,REP,,McIntosh County: County Commission - District 5 LRG - Rep<br>0 of 6 precincts reporting,,<b>Kyle Turner</b><br>0 votes,6,0
11,REP,,McIntosh County: County Commission - District 1 - Rep<br>0 of 2 precincts reporting,,<b>James Sailors</b><br>0 votes,2,0
12,REP,,McIntosh County: County Commission - District 1 - Rep<br>0 of 2 precincts reporting,,<b>Fred Stregles</b><br>0 votes,2,0
13,DEM,,McIntosh County: County Commission - District 3 - Dem<br>0 of 2 precincts reporting,,<b>JR Grovner</b><br>0 votes,2,0
14,DEM,,McIntosh County: County Commission - District 3 - Dem<br>0 of 2 precincts reporting,,"<b>Roger B. Lotson, Sr. (I)</b><br>0 votes",2,0
15,REP,,McIntosh County: BOE - District 1 - Rep<br>0 of 2 precincts reporting,,<b>Michael Lynn</b><br>0 votes,2,0
16,REP,,McIntosh County: BOE - District 3 - Rep<br>0 of 2 precincts reporting,,<b>Jesse B. Hope</b><br>0 votes,2,0
17,DEM,,McIntosh County: BOE - District 3 - Dem<br>0 of 2 precincts reporting,,<b>Fred A. McIver</b><br>0 votes,2,0
18,,,McIntosh County: State Court Judge<br>0 of 6 precincts reporting,,<b>Josh Dorminy</b><br>0 votes,6,0
19,,,McIntosh County: State Court Judge<br>0 of 6 precincts reporting,,<b>Jason A. Nix</b><br>0 votes,6,0
